file_name,main_class,resolution,class_label,width,height,aspect_ratio,file_size_kb,mean_intensity,std_intensity,skewness,kurtosis,entropy,edge_density
s1_1.tif,Wikipedia,,150,512,512,1.0,6366.8017578125,0.962911421383362,0.0995634372157659,-3.189786499198733,10.722394354152025,1.460927945810691,0.1898956298828125
s1_10.tif,Wikipedia,,150,512,512,1.0,6366.8017578125,0.9575584247255832,0.109718868487942,-3.226341128189828,11.224549762721352,1.5649258740821963,0.1879043579101562
s1_100.tif,Wikipedia,,150,512,512,1.0,6366.8017578125,0.9546174178298517,0.1113370705347369,-3.122126626128412,10.247262294502503,1.8445199725177104,0.1943092346191406
s1_101.tif,Wikipedia,,150,512,512,1.0,6366.8017578125,0.956671949923286,0.086973292149106,-2.06185730456328,3.326914591320108,1.9239810661561716,0.2627487182617187
s1_102.tif,Wikipedia,,150,512,512,1.0,6366.8017578125,0.9212958067364324,0.1721066964524441,-2.4404327421480487,5.318599035795797,1.9938248397742049,0.2025871276855468
s1_103.tif,Wikipedia,,150,512,512,1.0,6366.8017578125,0.9719568915774184,0.0913167678490586,-4.313794373566465,21.38376598124404,1.1835753694662852,0.1184616088867187
s1_104.tif,Wikipedia,,150,512,512,1.0,6366.8017578125,0.9781195966162992,0.0865144554532661,-4.85360609132841,26.078358953861446,0.831547142375296,0.1169967651367187
s1_105.tif,Wikipedia,,150,512,512,1.0,6366.8017578125,0.953482461820918,0.1273206140704073,-3.0842883459875763,9.314976405250558,1.4476622664874417,0.1183624267578125
s1_106.tif,Wikipedia,,150,512,512,1.0,6366.8017578125,0.9868431501102556,0.0617159304143033,-5.984230255673497,39.96407927217749,0.6626753835332829,0.0634536743164062
s1_107.tif,Wikipedia,,150,512,512,1.0,6366.8017578125,0.97840040542641,0.0749526107211402,-4.250066799589645,20.025875391728903,0.9825669510312915,0.1178054809570312
s1_108.tif,Wikipedia,,150,512,512,1.0,6366.8017578125,0.969289528937424,0.0949225808961712,-3.826019364614153,16.118760329178443,1.2115421488229272,0.1658058166503906
s1_11.tif,Wikipedia,,150,512,512,1.0,6366.8017578125,0.9255789356653176,0.183399435846081,-2.7061576842450603,6.43255221117702,1.7270080003462782,0.1807403564453125
s1_12.tif,Wikipedia,,150,512,512,1.0,6366.8017578125,0.9713474402940308,0.0927747579086582,-3.9603173098306654,17.17517987097586,1.1123732548348488,0.1578559875488281
s1_13.tif,Wikipedia,,150,512,512,1.0,6366.8017578125,0.9729535388578162,0.0935209097653045,-4.172853740815716,18.63267845022575,1.0332986745107786,0.1391830444335937
s1_14.tif,Wikipedia,,150,512,512,1.0,6366.8017578125,0.9759838009734496,0.0850703203374507,-4.358306812384398,21.089610362669426,0.95391157015097,0.1320533752441406
s1_15.tif,Wikipedia,,150,512,512,1.0,6366.8017578125,0.9440090935694194,0.1379215959396312,-2.839502804429247,7.959379589969842,1.6699111601486023,0.173797607421875
s1_16.tif,Wikipedia,,150,512,512,1.0,6366.8017578125,0.9630835677371536,0.1052154624814159,-3.574127973528092,13.88662011108944,1.4271821433827114,0.1440658569335937
s1_17.tif,Wikipedia,,150,512,512,1.0,6366.8017578125,0.9312648938381436,0.1852724464316563,-2.9078059138716785,7.303053787264373,1.5068529433537368,0.1402435302734375
s1_18.tif,Wikipedia,,150,512,512,1.0,6366.8017578125,0.9101351626216792,0.1832464810307869,-2.1472807204488245,3.6697913720860695,2.137203291587364,0.1819953918457031
s1_19.tif,Wikipedia,,150,512,512,1.0,6366.8017578125,0.934212698523594,0.1802955344485226,-3.0871019637007846,8.795472263633611,1.5094264110620983,0.1506538391113281
s1_2.tif,Wikipedia,,150,512,512,1.0,6366.8017578125,0.968912748375504,0.0987554751331274,-4.016139516266965,18.25568850082505,1.1783730260671526,0.1659202575683593
s1_20.tif,Wikipedia,,150,512,512,1.0,6366.8017578125,0.941655351021962,0.1407417801672658,-2.9172766054634014,8.711658322022801,1.7932157939271725,0.2120132446289062
s1_21.tif,Wikipedia,,150,512,512,1.0,6366.8017578125,0.925841848871524,0.1842374816277687,-2.8756806882948034,7.591954639000564,1.8042486417989947,0.1993598937988281
s1_22.tif,Wikipedia,,150,512,512,1.0,6366.8017578125,0.9715541516801104,0.096269214560544,-4.290080169832976,20.46375862441742,1.09139715135939,0.1442108154296875
s1_23.tif,Wikipedia,,150,512,512,1.0,6366.8017578125,0.9768442285508476,0.0729245380986312,-3.897828372618104,17.52268189190751,1.1154825432645372,0.1373214721679687
s1_24.tif,Wikipedia,,150,512,512,1.0,6366.8017578125,0.96679870350786,0.0805005906701579,-2.807988499499623,8.262343066263417,1.5469090899785165,0.2036018371582031
s1_25.tif,Wikipedia,,150,512,512,1.0,6366.8017578125,0.9701888056033507,0.07832876391841,-3.182580791564745,10.930734173285382,1.453098179163069,0.1725044250488281
s1_26.tif,Wikipedia,,150,512,512,1.0,6366.8017578125,0.9697497432087976,0.1084030996807919,-4.264855105450198,18.668976428523443,0.985892058053982,0.1033821105957031
