file_name,dataset_source,main_class,resolution,class_label,width,height,aspect_ratio,file_size_kb,mean_intensity,std_intensity,skewness,kurtosis,entropy,edge_density
s1_1.tif,official,Official,150,Canon120-1,1240,1752,0.707762557,6366.801758,0.972213192,0.126700179,-4.817502634,22.21188771,0.623623977,0.073259132
s1_10.tif,official,Official,150,Canon120-1,1240,1752,0.707762557,6366.801758,0.969916882,0.125063983,-4.215445959,16.54930021,0.617314061,0.053313264
s1_100.tif,official,Official,150,Canon120-1,1240,1752,0.707762557,6366.801758,0.985308785,0.091975197,-6.887678729,48.42429212,0.356439814,0.043673129
s1_11.tif,official,Official,150,Canon120-1,1240,1752,0.707762557,6366.801758,0.973880891,0.117471925,-4.932825233,24.11555843,0.634991028,0.094479121
s1_12.tif,official,Official,150,Canon120-1,1240,1752,0.707762557,6366.801758,0.988605724,0.078620021,-7.982356634,65.29059455,0.477718398,0.035346701
s1_13.tif,official,Official,150,Canon120-1,1240,1752,0.707762557,6366.801758,0.980217912,0.103679809,-5.757449363,33.267974,0.494993526,0.067906724
s1_14.tif,official,Official,150,Canon120-1,1240,1752,0.707762557,6366.801758,0.979252865,0.107123428,-5.620663018,31.40285189,0.510987852,0.072207339
s1_15.tif,official,Official,150,Canon120-1,1240,1752,0.707762557,6366.801758,0.977808311,0.099685619,-5.18313431,27.57006666,0.690989473,0.087328767
s1_16.tif,official,Official,150,Canon120-1,1240,1752,0.707762557,6366.801758,0.98255441,0.092175818,-5.955097132,36.42199864,0.515438173,0.069763128
s1_17.tif,official,Official,150,Canon120-1,1240,1752,0.707762557,6366.801758,0.99302691,0.062623172,-10.01663657,103.5873679,0.204527561,0.024130487
s1_18.tif,official,Official,150,Canon120-1,1240,1752,0.707762557,6366.801758,0.983057684,0.098188838,-6.300090896,39.72820188,0.416804442,0.053274138
s1_19.tif,official,Official,150,Canon120-1,1240,1752,0.707762557,6366.801758,0.971157312,0.122255236,-4.715631381,21.9050895,0.801604419,0.096375571
s1_2.tif,official,Official,150,Canon120-1,1240,1752,0.707762557,6366.801758,0.958925737,0.137024582,-3.713495458,13.22655222,1.135010498,0.163518651
s1_20.tif,official,Official,150,Canon120-1,1240,1752,0.707762557,6366.801758,0.971262008,0.121845697,-4.702781078,21.75298798,0.801837598,0.09640411
s1_21.tif,official,Official,150,Canon120-1,1240,1752,0.707762557,6366.801758,0.992086995,0.065161424,-9.293601795,89.73522974,0.241825134,0.031221461
s1_22.tif,official,Official,150,Canon120-1,1240,1752,0.707762557,6366.801758,0.993663261,0.059311025,-10.5380139,115.1685464,0.196257059,0.021215845
s1_23.tif,official,Official,150,Canon120-1,1240,1752,0.707762557,6366.801758,0.986276026,0.081588705,-6.99713613,50.40106624,0.519319414,0.048872257
s1_24.tif,official,Official,150,Canon120-1,1240,1752,0.707762557,6366.801758,0.988825882,0.074856263,-7.539902357,58.70732591,0.336499177,0.04789135
s1_25.tif,official,Official,150,Canon120-1,1240,1752,0.707762557,6366.801758,0.977137955,0.11755117,-5.443132342,28.93226066,0.467881864,0.058446568
s1_26.tif,official,Official,150,Canon120-1,1240,1752,0.707762557,6366.801758,0.984810754,0.09328012,-6.663529502,44.64732803,0.36242429,0.046229655
s1_27.tif,official,Official,150,Canon120-1,1240,1752,0.707762557,6366.801758,0.963910569,0.139802645,-4.095582065,15.75207476,0.827535555,0.089726948
s1_28.tif,official,Official,150,Canon120-1,1240,1752,0.707762557,6366.801758,0.989498256,0.078725577,-8.221132457,68.68637049,0.269474306,0.032839428
s1_29.tif,official,Official,150,Canon120-1,1240,1752,0.707762557,6366.801758,0.993238892,0.053774644,-9.821251325,105.4485548,0.309646468,0.021546804
s1_3.tif,official,Official,150,Canon120-1,1240,1752,0.707762557,6366.801758,0.978738475,0.107724593,-5.53270925,30.59410416,0.519767595,0.06966048
s1_30.tif,official,Official,150,Canon120-1,1240,1752,0.707762557,6366.801758,0.981375012,0.082879011,-4.721862509,22.2986662,0.548982849,0.038473542
s1_31.tif,official,Official,150,Canon120-1,1240,1752,0.707762557,6366.801758,0.959176441,0.138926545,-3.688415742,12.8113714,1.059391243,0.133781669
s1_32.tif,official,Official,150,Canon120-1,1240,1752,0.707762557,6366.801758,0.985307093,0.084176246,-6.620517836,45.93346077,0.453937223,0.061686184
s1_33.tif,official,Official,150,Canon120-1,1240,1752,0.707762557,6366.801758,0.96108559,0.140917781,-3.900455287,14.3526173,0.969417012,0.130382788
s1_34.tif,official,Official,150,Canon120-1,1240,1752,0.707762557,6366.801758,0.986986257,0.08041195,-7.007509217,50.91468694,0.388085451,0.048782497
s1_35.tif,official,Official,150,Canon120-1,1240,1752,0.707762557,6366.801758,0.972683294,0.129147448,-4.939558515,23.39421294,0.540342609,0.066772536
s1_36.tif,official,Official,150,Canon120-1,1240,1752,0.707762557,6366.801758,0.984562435,0.095582309,-6.699173145,44.9761813,0.363586343,0.047139674
s1_37.tif,official,Official,150,Canon120-1,1240,1752,0.707762557,6366.801758,0.982034892,0.102182758,-6.164692317,37.90569559,0.419320189,0.05885992
s1_38.tif,official,Official,150,Canon120-1,1240,1752,0.707762557,6366.801758,0.98703298,0.083006258,-7.126675358,52.05412498,0.359872245,0.044208923
s1_39.tif,official,Official,150,Canon120-1,1240,1752,0.707762557,6366.801758,0.986901142,0.079787267,-7.140916674,54.06832456,0.399371615,0.05326125
s1_4.tif,official,Official,150,Canon120-1,1240,1752,0.707762557,6366.801758,0.96895679,0.12610374,-4.39758538,18.80375176,0.749848963,0.115531098
s1_40.tif,official,Official,150,Canon120-1,1240,1752,0.707762557,6366.801758,0.985000576,0.082180554,-7.069151495,54.21663467,0.615982635,0.060988824
s1_41.tif,official,Official,150,Canon120-1,1240,1752,0.707762557,6366.801758,0.959830301,0.155007465,-4.029547067,15.19418841,0.757062656,0.092243887
s1_42.tif,official,Official,150,Canon120-1,1240,1752,0.707762557,6366.801758,0.969183658,0.132882757,-4.368863402,17.82794407,0.582580944,0.050377909
s1_43.tif,official,Official,150,Canon120-1,1240,1752,0.707762557,6366.801758,0.986483932,0.082658597,-6.858400495,48.34740815,0.390839255,0.054125239
s1_44.tif,official,Official,150,Canon120-1,1240,1752,0.707762557,6366.801758,0.976108289,0.114792916,-5.179798311,26.43748732,0.552681733,0.080987167
s1_45.tif,official,Official,150,Canon120-1,1240,1752,0.707762557,6366.801758,0.983038367,0.094548057,-6.181987079,38.72670652,0.456058248,0.061062012
s1_46.tif,official,Official,150,Canon120-1,1240,1752,0.707762557,6366.801758,0.978871197,0.105381797,-5.49620208,30.29613036,0.542846351,0.078242838
s1_47.tif,official,Official,150,Canon120-1,1240,1752,0.707762557,6366.801758,0.982311444,0.081015498,-6.038349212,40.48636736,0.821483827,0.08656006
